BlockHeight,UnixTimestamp,TxnFee(ETH),TxnFee (Binary),status,Block Generation Rate,Stake Reward,Coin Stake,Stake Distribution Rate,Txnsize,Coin Days,Coin Age,Block Density (%),Block Score,Coin Day Weight,Node Label,Node Uptime,Transaction Velocity,Node Efficiency,Network Latency
6069932,1524145611,0.011097017,1,0,0,1,66,1729,71,2,115,1689,2456,26,0,0 days 00:00:00,-1.609567345561249e-08,0.0,-62128497.0
10227483,1634563152,0.0,1,1,1,1,130,1490,58,2,90,1396,3188,59,1,1277 days 23:32:21,9.056532059521233e-09,58.0,110417541.0
14977170,1656374829,0.524131879,1,1,1,1,43,1523,36,1,73,1738,3015,54,1,1530 days 10:20:18,4.58470020439052e-08,36.0,21811677.0
5835625,1524145611,0.0,1,0,0,0,96,1126,68,3,76,1552,4614,27,0,0 days 00:00:00,-7.562625077310825e-09,0.0,-132229218.0
5699174,1524145611,0.0,1,0,0,0,71,1090,51,2,97,1457,2278,0,0,0 days 00:00:00,0.0,0.0,0.0
15450240,1653245050,0.434090439,1,1,1,1,104,2692,27,1,118,1254,5121,51,1,1494 days 04:57:19,7.745967044829683e-09,27.0,129099439.0
15328152,1653297152,0.52580019,1,1,1,1,114,1564,39,3,73,1245,2767,55,1,1494 days 19:25:41,1.9193121185367165e-05,39.0,52102.0
5903457,1524145611,0.0,0,0,0,1,64,804,70,1,83,1746,3352,0,0,0 days 00:00:00,-7.742842185677056e-09,0.0,-129151541.0
15450240,1643999529,0.497909452,1,1,1,1,32,2777,67,1,118,1517,3069,27,1,1387 days 04:45:18,8.343490281227185e-09,67.0,119853918.0
15450240,1653031144,0.43110161,1,0,0,1,124,2270,17,1,108,2898,3852,50,0,1491 days 17:32:13,1.1072216873726349e-07,0.0,9031615.0
6325163,1524641938,0.0,1,0,0,1,38,1484,60,2,106,1396,3314,22,0,5 days 17:52:07,-7.788816763926401e-09,0.0,-128389206.0
15450240,1661999151,0.496817946,1,1,1,1,66,1435,53,3,77,1532,4338,61,1,1595 days 12:39:00,7.2802874938937506e-09,53.0,137357213.0
5897466,1527355983,0.024574345,0,0,0,1,65,1329,43,1,36,1508,1894,0,0,37 days 03:46:12,-7.427038555717881e-09,0.0,-134643168.0
15125075,1658439430,0.443257985,1,1,1,1,48,1570,67,1,86,1435,4699,56,1,1554 days 07:50:19,7.628728286341143e-09,67.0,131083447.0
15450240,1658287104,0.0,1,0,0,1,119,2293,75,1,69,1403,2531,56,0,1552 days 13:31:33,-6.564867455326077e-06,0.0,-152326.0
5468684,1524145611,0.522304023,1,0,0,1,75,1680,70,1,46,1008,1489,25,1,0 days 00:00:00,-7.4548148945979e-09,0.0,-134141493.0
6118620,1524145611,0.0,1,1,0,1,42,1649,37,1,104,1316,2441,50,1,0 days 00:00:00,0.0,0.0,0.0
15450240,1661999151,0.564773853,1,1,1,1,110,1979,37,1,294,1646,4815,50,1,1595 days 12:39:00,7.254075593561109e-09,37.0,137853540.0
5827934,1524145611,0.00768658,1,0,0,1,69,1578,89,3,36,1543,3583,26,0,0 days 00:00:00,-7.254075593561109e-09,0.0,-137853540.0
5476985,1524145611,0.009811977,1,0,0,1,34,1569,75,2,43,955,2443,56,0,0 days 00:00:00,0.0,0.0,0.0
15450240,1524145611,0.0,1,0,1,1,40,1662,46,1,116,1237,2548,0,0,0 days 00:00:00,0.0,46.0,0.0
15450240,1655202118,0.593841005,1,1,1,1,37,1581,66,1,69,1439,5849,59,1,1516 days 20:35:07,7.63029644914922e-09,66.0,131056507.0
6532429,1656668950,0.0,1,0,0,0,118,1905,49,3,68,2231,5811,25,0,1533 days 20:02:19,6.817413309772353e-07,0.0,1466832.0
15450240,1524145611,0.0,1,1,1,1,40,1018,53,3,75,1368,2873,56,1,0 days 00:00:00,-7.545840661319287e-09,53.0,-132523339.0
5687477,1537451610,0.0,0,0,0,1,42,916,53,2,67,1306,3045,24,0,154 days 00:06:39,7.51540714830957e-08,0.0,13305999.0
5558246,1524145611,0.0,0,0,0,1,71,1523,67,1,80,1608,1684,0,0,0 days 00:00:00,-7.51540714830957e-08,0.0,-13305999.0
6024911,1637334272,0.537456091,1,1,1,1,68,1694,67,1,58,1436,2866,29,0,1310 days 01:17:41,8.834807225080612e-09,67.0,113188661.0
5844312,1524145611,0.0,1,0,0,1,72,1056,53,2,44,1422,3531,0,0,0 days 00:00:00,-8.834807225080612e-09,0.0,-113188661.0
15450240,1659503463,0.443041584,1,0,0,1,35,1088,49,1,105,1585,3993,53,0,1566 days 15:24:12,7.38782409165299e-09,0.0,135357852.0
5645742,1524378595,0.0,1,0,1,1,62,2233,62,3,56,1734,4982,28,0,2 days 16:43:04,-7.4005622710395554e-09,62.0,-135124868.0
14149298,1645929779,0.524706749,0,1,0,1,62,1576,45,1,79,2767,3038,51,0,1409 days 12:56:08,8.226986912772483e-09,0.0,121551184.0
15450240,1630372504,0.450450837,1,1,1,1,44,2851,35,1,88,2311,5026,54,1,1229 days 11:28:13,-6.427860920373265e-08,35.0,-15557275.0
15450240,1634544357,0.0,0,0,0,1,116,1079,24,3,112,2522,5088,29,0,1277 days 18:19:06,2.397016385764312e-07,0.0,4171853.0
5881564,1529431973,0.0,1,1,0,1,30,898,61,2,97,1054,5979,52,0,61 days 04:26:02,-9.513626862463704e-09,0.0,-105112384.0
5957418,1530053874,0.0,1,0,0,1,30,1239,52,2,93,1303,2366,27,0,68 days 09:11:03,1.607972973190267e-06,0.0,621901.0
5997703,1524145611,0.0,0,0,0,1,108,904,59,3,113,1449,1196,52,0,0 days 00:00:00,-1.692544830858071e-07,0.0,-5908263.0
15450240,1661999151,0.010656987,1,1,0,1,43,1685,61,1,191,1704,3346,60,1,1595 days 12:39:00,7.254075593561109e-09,0.0,137853540.0
5874096,1524145611,0.0,1,0,0,1,47,782,74,3,99,2505,3223,53,0,0 days 00:00:00,-7.254075593561109e-09,0.0,-137853540.0
5942112,1524145611,0.0,1,0,0,0,37,961,83,2,30,1653,2018,0,0,0 days 00:00:00,0.0,0.0,0.0
6115133,1524145611,0.0,1,0,0,1,30,1001,28,1,108,1446,3266,55,0,0 days 00:00:00,0.0,0.0,0.0
5468684,1528434004,0.0,1,0,0,1,35,1307,81,1,104,1703,5568,53,0,49 days 15:13:13,2.3318758332083843e-07,0.0,4288393.0
15450240,1643995617,0.482694632,1,1,1,1,189,2542,77,1,224,3060,5087,53,1,1387 days 03:40:06,8.653392541345022e-09,77.0,115561613.0
15450240,1661999151,0.465958677,1,1,1,1,76,2933,74,1,97,1334,5259,57,1,1595 days 12:39:00,5.554465028921544e-08,74.0,18003534.0
15450240,1653154816,0.519823074,1,1,1,1,77,1454,47,1,109,1871,6272,52,1,1493 days 03:53:25,-1.1306672576287535e-07,47.0,-8844335.0
11886660,1558339923,0.0,1,0,0,0,107,1568,63,2,111,2927,2586,54,0,395 days 18:25:12,-1.0546866302955171e-08,0.0,-94814893.0
15450240,1647042339,0.010072053,1,0,0,0,43,992,27,2,119,1594,2075,55,0,1422 days 09:58:48,1.1273650088628928e-08,0.0,88702416.0
15450240,1661999151,0.543178839,1,1,1,1,71,2671,76,1,104,2692,4697,49,1,1595 days 12:39:00,6.685916758196869e-08,76.0,14956812.0
15450240,1643646701,0.493494272,0,1,1,1,125,2584,40,2,133,1538,2452,50,1,1383 days 02:44:50,-5.448863775681176e-08,40.0,-18352450.0
6511945,1524145611,0.0,1,0,0,0,44,1523,61,2,63,1729,2116,0,0,0 days 00:00:00,-8.368124508320384e-09,0.0,-119501090.0
15450240,1646696936,0.519555939,1,0,1,0,189,1626,46,1,92,2688,5086,53,1,1418 days 10:02:05,8.159846496967699e-09,46.0,122551325.0
6092598,1524145611,0.0,1,0,0,0,59,950,52,2,40,1818,2119,0,0,0 days 00:00:00,-8.159846496967699e-09,0.0,-122551325.0
6377950,1524145611,0.0,1,0,0,1,44,1529,44,2,82,1642,3108,0,0,0 days 00:00:00,0.0,0.0,0.0
6395133,1524145611,0.0,1,1,1,1,38,1639,52,2,107,1537,1630,58,0,0 days 00:00:00,0.0,52.0,0.0
15450240,1660732732,0.547509705,1,1,1,0,67,2450,77,3,124,1093,5453,52,1,1580 days 20:52:01,7.321334490972981e-09,77.0,136587121.0
5827448,1524145611,0.0,0,0,0,1,54,2663,74,3,100,1349,2182,0,0,0 days 00:00:00,-7.321334490972981e-09,0.0,-136587121.0
15024326,1661999151,0.442826592,1,1,1,1,98,1638,27,1,53,2770,5084,52,1,1595 days 12:39:00,7.254075593561109e-09,27.0,137853540.0
6123729,1656679495,0.0,1,1,1,1,102,1165,45,2,41,1320,4666,26,1,1533 days 22:58:04,-1.8798208004427359e-07,45.0,-5319656.0
15450240,1645150849,0.0,1,1,1,1,37,2310,50,1,78,1572,2343,26,1,1400 days 12:33:58,-8.674045503695752e-08,50.0,-11528646.0
15450240,1618266353,0.0,0,0,1,1,31,1565,81,2,88,1374,3089,25,0,1089 days 08:39:02,-3.71961594519012e-08,81.0,-26884496.0
15450240,1524145611,0.522295041,1,1,1,1,107,2879,65,1,57,2586,4097,52,1,0 days 00:00:00,-1.0624650621645122e-08,65.0,-94120742.0
5579392,1524145611,0.0,1,0,0,1,33,1062,59,2,52,1806,2123,22,0,0 days 00:00:00,0.0,0.0,0.0
13294615,1524145611,0.0,1,0,0,0,40,1006,17,2,111,1450,2632,29,0,0 days 00:00:00,0.0,0.0,0.0
15450240,1648547383,0.551311931,1,1,1,1,125,1748,79,1,97,2758,5289,55,1,1439 days 20:02:52,8.038470706028206e-09,79.0,124401772.0
6211146,1525216883,0.0,1,0,0,1,30,885,55,1,52,1747,2821,29,0,12 days 09:34:32,-8.108294379735751e-09,0.0,-123330500.0
6307974,1527719135,0.0,1,0,0,1,39,1080,72,2,63,1577,3599,25,0,41 days 08:38:44,3.996400042841409e-07,0.0,2502252.0
15450240,1660026488,0.469047722,1,1,1,1,44,3430,42,1,95,1681,4109,52,1,1572 days 16:41:17,7.558158918045923e-09,42.0,132307353.0
6189578,1655160987,0.0,1,0,0,1,36,1167,84,2,73,2062,3592,54,0,1516 days 09:09:36,-2.0552868039694165e-07,0.0,-4865501.0
6484996,1524145611,0.029701472,1,0,0,1,39,1729,60,1,106,1339,3313,27,0,0 days 00:00:00,-7.632691906330141e-09,0.0,-131015376.0
15450240,1661999151,0.503089834,1,1,1,1,117,1808,75,1,88,1713,5762,51,1,1595 days 12:39:00,7.254075593561109e-09,75.0,137853540.0
6484898,1524145611,0.0,1,0,0,1,56,1339,418,3,99,1338,1555,0,0,0 days 00:00:00,-7.254075593561109e-09,0.0,-137853540.0
6073194,1524430960,0.003764374,0,0,0,1,44,817,70,2,88,1734,3526,0,0,3 days 07:15:49,3.504480478291496e-06,0.0,285349.0
5472883,1525602488,0.0,1,0,0,0,74,1588,59,1,96,1381,1858,23,0,16 days 20:41:17,8.535860858639316e-07,0.0,1171528.0
5592310,1526402392,0.0,1,1,1,1,98,2714,78,2,92,1468,3710,29,1,26 days 02:53:01,1.2501500180021602e-06,78.0,799904.0
5869786,1524145611,0.017561129,1,0,0,1,36,1349,77,2,87,1624,2939,24,0,0 days 00:00:00,-4.431090123498913e-07,0.0,-2256781.0
5557790,1524145611,0.0,1,0,0,1,45,1706,64,2,65,1551,3381,26,0,0 days 00:00:00,0.0,0.0,0.0
5961966,1524145611,0.0,1,0,1,1,65,1597,75,2,111,1310,2736,0,1,0 days 00:00:00,0.0,75.0,0.0
15450240,1656095835,0.489762678,1,0,1,1,112,3850,62,1,73,1669,4498,50,1,1527 days 04:50:24,7.57861540272944e-09,62.0,131950224.0
5468684,1524145611,0.0,1,0,0,0,30,1064,48,2,90,1401,3599,0,0,0 days 00:00:00,-7.57861540272944e-09,0.0,-131950224.0
5890418,1525897991,0.0,0,0,0,1,30,1567,60,3,75,1389,2938,0,0,20 days 06:46:20,5.70652484050263e-07,0.0,1752380.0
5468684,1524552012,0.0,0,0,0,1,49,1063,64,3,93,1496,1794,0,0,4 days 16:53:21,-7.42953641921605e-07,0.0,-1345979.0
15450240,1652349393,0.550223215,1,1,1,1,104,2690,84,1,108,2336,6081,59,1,1483 days 20:09:42,7.824886489653493e-09,84.0,127797381.0
6652485,1524145611,0.005335963,1,0,0,0,42,1045,45,2,99,1563,921,25,0,0 days 00:00:00,-7.800081903980024e-09,0.0,-128203782.0
6187021,1524145611,0.0,1,0,0,0,36,1149,55,2,37,2397,1761,0,0,0 days 00:00:00,0.0,0.0,0.0
5468684,1526084294,0.0,1,0,0,1,30,633,74,2,43,1374,1334,27,0,22 days 10:31:23,5.158140861605534e-07,0.0,1938683.0
15450240,1653002307,0.0,1,1,0,1,49,2714,46,2,124,1677,6661,25,0,1491 days 09:31:36,7.879102235866235e-09,0.0,126918013.0
5682904,1524145611,0.0,0,0,0,1,34,1617,32,3,63,1645,2436,1,0,0 days 00:00:00,-7.760559063224778e-09,0.0,-128856696.0
15325328,1524145611,0.49550409,1,1,1,1,135,3850,56,1,143,1394,6125,23,1,0 days 00:00:00,0.0,56.0,0.0
15450240,1661999151,0.419297841,1,1,1,1,84,2521,67,1,102,1634,5954,53,1,1595 days 12:39:00,7.254075593561109e-09,67.0,137853540.0
5787090,1653972931,0.0,1,0,1,1,158,1026,40,1,82,1555,3459,30,1,1502 days 15:08:40,-1.2459165086429228e-07,40.0,-8026220.0
6006479,1524145611,0.0,1,0,0,1,42,1430,81,2,74,1612,1829,23,0,0 days 00:00:00,-7.702539034157063e-09,0.0,-129827320.0
5688199,1527300275,0.0,1,0,0,1,71,897,51,1,116,2391,3465,0,0,36 days 12:17:44,3.169909695612591e-07,0.0,3154664.0
15450240,1526122644,0.0,1,0,0,1,43,1757,73,2,77,1515,1748,25,0,22 days 21:10:33,-8.491624286385124e-07,0.0,-1177631.0
14100214,1653893004,0.437112686,1,1,1,1,101,1616,42,3,94,1537,3514,55,1,1501 days 16:56:33,7.826541304258672e-09,42.0,127770360.0
5620257,1646868278,0.0,1,0,0,1,43,3231,54,1,101,1515,921,22,0,1420 days 09:37:47,-1.423543067729617e-07,0.0,-7024726.0
6252750,1524579133,0.0,1,0,0,0,37,1577,65,2,105,1613,1583,28,0,5 days 00:25:22,-8.177340678929434e-09,0.0,-122289145.0
5811194,1524145611,0.0,1,0,0,1,41,1004,81,2,59,1435,1571,26,0,0 days 00:00:00,-2.30668801121973e-06,0.0,-433522.0
15450240,1524145611,0.485771968,1,1,1,1,111,1166,63,2,91,1628,5026,26,1,0 days 00:00:00,0.0,63.0,0.0
6086288,1525621336,0.014013447,0,0,0,1,44,1662,54,2,52,1563,2264,28,0,17 days 01:55:25,6.776330278337766e-07,0.0,1475725.0
12466646,1524145611,0.0,1,0,0,0,43,1154,54,1,92,1214,1717,54,0,0 days 00:00:00,-6.776330278337766e-07,0.0,-1475725.0
15450240,1658027281,0.0,1,1,1,1,115,3036,68,1,114,3028,5747,52,1,1549 days 13:21:10,7.469282389441363e-09,68.0,133881670.0
5549089,1526640355,0.000806892,0,0,0,1,35,1421,54,3,66,1607,2448,0,0,28 days 20:59:04,-7.611107363909252e-09,0.0,-131386926.0
6140725,1524145611,0.0,1,0,0,0,40,1409,47,2,55,1339,1516,0,0,0 days 00:00:00,-4.008427317592506e-07,0.0,-2494744.0
15450240,1653388850,0.426780935,1,1,1,1,43,1883,65,1,37,2918,3124,51,1,1495 days 20:53:59,7.73734864382345e-09,65.0,129243239.0
15450240,1641776616,0.547742602,1,1,1,1,116,2441,76,1,91,2213,6430,59,1,1361 days 11:16:45,-8.611607378907452e-08,76.0,-11612234.0
6115142,1524145611,0.0,1,0,0,0,51,1897,30,2,38,1721,1591,32,0,0 days 00:00:00,-8.501160047047119e-09,0.0,-117631005.0
5468684,1524145611,0.609540985,1,0,0,0,48,1875,61,1,45,1496,4012,25,0,0 days 00:00:00,0.0,0.0,0.0
15450240,1661311170,0.396534995,0,0,0,1,40,1833,76,1,65,1356,4149,26,0,1587 days 13:32:39,7.290459844952771e-09,0.0,137165559.0
15450240,1661615701,0.436105556,0,0,0,1,40,998,78,3,278,1621,4676,50,1,1591 days 02:08:10,3.283737944577071e-06,0.0,304531.0
15450240,1661999151,0.488100986,1,1,1,1,61,1046,35,1,89,1426,4581,58,1,1595 days 12:39:00,2.607901942886948e-06,35.0,383450.0
5468684,1524145611,0.00967576,0,0,0,1,50,1192,64,2,104,1327,1329,24,0,0 days 00:00:00,-7.254075593561109e-09,0.0,-137853540.0
6020656,1524145611,0.0,1,0,0,1,47,2904,46,2,114,1494,3097,24,0,0 days 00:00:00,0.0,0.0,0.0
6577581,1661921579,0.536885679,1,1,1,1,68,1126,47,1,101,3057,4392,61,1,1594 days 15:06:08,7.258159855570748e-09,47.0,137775968.0
15450240,1642886199,0.489690507,1,1,1,1,96,2139,64,2,113,1568,2592,64,1,1374 days 07:29:48,-5.2533755564638056e-08,64.0,-19035380.0
5861268,1524145611,0.0,1,0,0,1,36,1726,34,2,97,1436,5270,0,1,0 days 00:00:00,-8.421720128251344e-09,0.0,-118740588.0
15450240,1648808088,0.512350386,1,1,1,1,46,1716,37,1,100,1730,4281,0,1,1442 days 20:27:57,8.021659957871686e-09,37.0,124662477.0
5917864,1524145611,0.0,1,0,1,1,142,1032,50,2,84,1359,2466,26,0,0 days 00:00:00,-8.021659957871686e-09,50.0,-124662477.0
5665712,1524145611,0.0,1,0,0,0,44,1405,87,2,63,1591,1844,0,0,0 days 00:00:00,0.0,0.0,0.0
15450240,1645788127,0.464354589,1,1,1,1,36,1569,43,1,95,1676,6195,57,1,1407 days 21:35:16,8.220809901695884e-09,43.0,121642516.0
5788842,1524145611,0.0,1,0,0,1,56,2180,51,1,83,1427,3059,27,0,0 days 00:00:00,-8.220809901695884e-09,0.0,-121642516.0
14987808,1648001260,0.465896128,1,1,1,1,69,2457,27,3,109,2203,3338,48,1,1433 days 12:20:49,8.073915142941926e-09,27.0,123855649.0
14705507,1524145611,0.0,1,1,0,1,39,976,47,1,80,1350,2054,0,0,0 days 00:00:00,-8.073915142941926e-09,0.0,-123855649.0
5468684,1524145611,0.0,1,0,0,1,31,1417,85,3,45,1388,3333,0,0,0 days 00:00:00,0.0,0.0,0.0
15450240,1652966470,0.499437146,1,1,1,1,107,1759,44,1,105,1514,3570,33,1,1490 days 23:34:19,7.762717992743706e-09,44.0,128820859.0
14417866,1524145611,0.0,1,0,1,1,70,902,68,1,49,1558,2554,26,0,0 days 00:00:00,-7.762717992743706e-09,68.0,-128820859.0
5682651,1524145611,0.0,1,0,0,1,42,978,67,1,101,1604,2793,23,0,0 days 00:00:00,0.0,0.0,0.0
15450240,1647154301,0.416564064,1,1,1,1,180,3850,62,1,91,2825,5766,53,1,1423 days 17:04:50,8.129506947842465e-09,62.0,123008690.0
15450240,1661999151,0.450214737,0,0,0,1,125,1237,55,1,55,1353,4663,52,1,1595 days 12:39:00,6.736342906799328e-08,0.0,14844850.0
5956303,1659005981,0.0,1,0,0,0,33,1637,32,1,115,2416,5433,31,0,1560 days 21:12:50,-3.340939539017162e-07,0.0,-2993170.0
15450240,1598231762,0.48897968,1,1,0,1,30,1857,17,1,50,1589,3293,25,0,857 days 11:29:11,-1.6454345550701363e-08,0.0,-60774219.0
15450240,1653393845,0.553996213,1,1,1,1,94,2643,35,3,98,2095,2438,60,1,1495 days 22:17:14,1.812839446255139e-08,35.0,55162083.0
15450240,1524145611,0.0,1,0,0,1,47,1021,58,2,141,1156,2266,25,0,0 days 00:00:00,-7.737049621892706e-09,0.0,-129248234.0
5468684,1524145611,0.0,1,0,0,0,34,1013,54,3,50,1316,3123,61,0,0 days 00:00:00,0.0,0.0,0.0
5757018,1524145611,0.477658721,1,0,0,1,73,1458,91,1,83,2479,2463,24,0,0 days 00:00:00,0.0,0.0,0.0
15450240,1646095181,0.481489755,1,1,1,1,123,1656,54,1,96,1506,3387,30,0,1411 days 10:52:50,8.200110914700232e-09,54.0,121949570.0
6190407,1524145611,0.0,0,0,0,1,30,1702,73,1,94,1227,2392,0,0,0 days 00:00:00,-8.200110914700232e-09,0.0,-121949570.0
15450240,1624309033,0.0,1,1,0,1,35,1085,71,2,63,1555,4291,29,0,1159 days 07:10:22,9.983684463176588e-09,0.0,100163422.0
6290945,1524145611,0.0,1,0,1,1,62,695,88,2,85,1423,2360,0,0,0 days 00:00:00,-9.983684463176588e-09,88.0,-100163422.0
5549963,1524145611,0.0,0,0,0,1,41,2452,82,2,56,1555,2707,57,0,0 days 00:00:00,0.0,0.0,0.0
15450240,1524145611,0.00090644,1,1,1,1,76,993,73,1,80,1328,2544,52,1,0 days 00:00:00,0.0,73.0,0.0
15240446,1570103462,0.485670952,1,1,0,1,113,1708,34,2,88,1447,2124,50,0,531 days 22:04:11,2.1759067890271893e-08,0.0,45957851.0
5468684,1524145611,0.0,1,0,0,1,59,1327,78,2,96,1671,2757,23,0,0 days 00:00:00,-2.1759067890271893e-08,0.0,-45957851.0
5968403,1524145611,0.0,1,0,1,1,30,1429,64,1,30,1069,1913,58,1,0 days 00:00:00,0.0,64.0,0.0
6051369,1524145611,0.002672102,0,0,0,1,55,3850,74,3,71,1648,3363,0,0,0 days 00:00:00,0.0,0.0,0.0
6128476,1525803882,0.0,0,0,0,1,31,1706,40,2,46,1807,2730,25,0,19 days 04:37:51,6.030377423231787e-07,0.0,1658271.0
15450240,1643847561,0.527382429,1,1,0,1,96,1296,45,1,36,2930,3793,58,1,1385 days 10:32:30,8.4714404741655e-09,0.0,118043679.0
15450240,1661999151,0.459589755,1,0,0,0,41,3093,31,1,102,1185,5287,52,0,1595 days 12:39:00,5.509159252715603e-08,0.0,18151590.0
14925487,1640757644,0.470292979,1,1,1,1,79,3850,89,1,30,2290,921,49,1,1349 days 16:13:53,-4.707763907711444e-08,89.0,-21241507.0
6190383,1529436062,0.0,1,0,0,1,30,1118,52,2,90,1417,3264,0,0,61 days 05:34:11,-8.98298409018298e-09,0.0,-111321582.0
5468684,1530291005,0.0,0,0,0,1,33,1632,69,2,91,1557,2387,24,0,71 days 03:03:14,1.1696686211829326e-06,0.0,854943.0
5653417,1527124853,0.021173762,0,0,0,1,35,1111,52,2,104,1518,2875,0,0,34 days 11:34:02,-3.158408061268063e-07,0.0,-3166152.0
6142714,1524145611,0.0,1,0,0,0,43,1574,57,2,46,1535,1798,0,0,0 days 00:00:00,-3.356558480311435e-07,0.0,-2979242.0
15450240,1640694991,0.493972379,1,1,1,1,59,3850,67,1,73,1474,4287,53,1,1348 days 22:49:40,8.580054222510665e-09,67.0,116549380.0
5685035,1526728069,0.0,1,0,0,1,46,1045,75,1,86,1470,2884,0,0,29 days 21:20:58,-8.774475807989269e-09,0.0,-113966922.0
5769487,1524145611,0.022080319,1,0,0,1,56,1584,56,3,109,1185,2878,32,1,0 days 00:00:00,-3.872279820233282e-07,0.0,-2582458.0
15450240,1524145611,0.0,1,1,0,1,37,1565,57,1,87,2475,4030,62,1,0 days 00:00:00,0.0,0.0,0.0
15450240,1524145611,0.524453774,1,1,0,1,124,875,155,3,141,1540,3668,54,1,0 days 00:00:00,0.0,0.0,0.0
13578254,1661999151,0.008538858,0,1,0,1,93,1447,44,3,76,1529,4450,59,0,1595 days 12:39:00,7.254075593561109e-09,0.0,137853540.0
5574378,1527773165,0.0,1,0,0,1,110,1657,50,1,92,1354,3037,29,1,41 days 23:39:14,-7.450122214039835e-09,0.0,-134225986.0
5904964,1642670514,0.513629548,1,0,1,1,189,1704,52,1,50,1489,2631,62,1,1371 days 19:35:03,8.703420998860471e-09,52.0,114897349.0
13997890,1644050319,0.491476815,1,1,0,1,54,2618,24,1,93,1411,2809,24,0,1387 days 18:51:48,7.247400900851932e-07,0.0,1379805.0
6001285,1524145611,0.0,1,0,0,1,41,1193,46,3,86,2271,2016,29,0,0 days 00:00:00,-8.339956092466361e-09,0.0,-119904708.0
14712412,1640431927,0.433851348,1,0,1,1,42,3850,49,1,89,1464,2632,53,1,1345 days 21:45:16,8.599464102035876e-09,49.0,116286316.0
14088934,1637782961,0.511914357,1,1,1,1,43,2126,84,1,81,1486,2897,26,1,1315 days 05:55:50,-3.775057890512751e-07,84.0,-2648966.0
15450240,1646709504,0.576882378,1,1,1,1,108,2671,40,1,76,1738,3958,56,1,1418 days 13:31:33,1.120254503899214e-07,40.0,8926543.0
